"ensembl_gene_id","symbol"
"ENSG00000000457","SCYL3"
"ENSG00000001036","FUCA2"
"ENSG00000001084","GCLC"
"ENSG00000001167","NFYA"
"ENSG00000001461","NIPAL3"
"ENSG00000001497","LAS1L"
"ENSG00000001629","ANKIB1"
"ENSG00000001631","KRIT1"
"ENSG00000002549","LAP3"
"ENSG00000002586","CD99"
"ENSG00000002834","LASP1"
"ENSG00000002919","SNX11"
"ENSG00000003056","M6PR"
"ENSG00000003393","ALS2"
"ENSG00000003402","CFLAR"
"ENSG00000003509","NDUFAF7"
"ENSG00000003756","RBM5"
"ENSG00000004142","POLDIP2"
"ENSG00000004455","AK2"
"ENSG00000004478","FKBP4"
"ENSG00000004487","KDM1A"
"ENSG00000004700","RECQL"
"ENSG00000004766","VPS50"
"ENSG00000004864","SLC25A13"
"ENSG00000004866","ST7"
"ENSG00000004897","CDC27"
"ENSG00000004961","HCCS"
"ENSG00000004975","DVL2"
"ENSG00000005007","UPF1"
"ENSG00000005020","SKAP2"
"ENSG00000005022","SLC25A5"
"ENSG00000005156","LIG3"
"ENSG00000005175","RPAP3"
"ENSG00000005194","CIAPIN1"
"ENSG00000005243","COPZ2"
"ENSG00000005302","MSL3"
"ENSG00000005436","GCFC2"
"ENSG00000005469","CROT"
"ENSG00000005483","KMT2E"
"ENSG00000005486","RHBDD2"
"ENSG00000005700","IBTK"
"ENSG00000005810","MYCBP2"
"ENSG00000005812","FBXL3"
"ENSG00000005882","PDK2"
"ENSG00000005889","ZFX"
"ENSG00000005893","LAMP2"
"ENSG00000006007","GDE1"
"ENSG00000006125","AP2B1"
"ENSG00000006194","ZNF263"
"ENSG00000006451","RALA"
"ENSG00000006530","AGK"
"ENSG00000006576","PHTF2"
"ENSG00000006607","FARP2"
"ENSG00000006625","GGCT"
"ENSG00000006652","IFRD1"
"ENSG00000006695","COX10"
"ENSG00000006712","PAF1"
"ENSG00000006715","VPS41"
"ENSG00000006744","ELAC2"
"ENSG00000006831","ADIPOR2"
"ENSG00000007047","MARK4"
"ENSG00000007168","PAFAH1B1"
"ENSG00000007202","BLTP2"
"ENSG00000007341","ST7L"
"ENSG00000007923","DNAJC11"
"ENSG00000008018","PSMB1"
"ENSG00000008130","NADK"
"ENSG00000008256","CYTH3"
"ENSG00000008282","SYPL1"
"ENSG00000008294","SPAG9"
"ENSG00000008324","SS18L2"
"ENSG00000008394","MGST1"
"ENSG00000008405","CRY1"
"ENSG00000008838","MED24"
"ENSG00000008869","HEATR5B"
"ENSG00000008952","SEC62"
"ENSG00000009307","CSDE1"
"ENSG00000009335","UBE3C"
"ENSG00000009413","REV3L"
"ENSG00000009780","FAM76A"
"ENSG00000009830","POMT2"
"ENSG00000009844","VTA1"
"ENSG00000009954","BAZ1B"
"ENSG00000010017","RANBP9"
"ENSG00000010072","SPRTN"
"ENSG00000010165","METTL13"
"ENSG00000010244","ZNF207"
"ENSG00000010256","UQCRC1"
"ENSG00000010270","STARD3NL"
"ENSG00000010278","CD9"
"ENSG00000010292","NCAPD2"
"ENSG00000010322","NISCH"
"ENSG00000010361","FUZ"
"ENSG00000010539","ZNF200"
"ENSG00000010803","SCMH1"
"ENSG00000010810","FYN"
"ENSG00000010818","HIVEP2"
"ENSG00000011007","ELOA"
"ENSG00000011009","LYPLA2"
"ENSG00000011114","BTBD7"
"ENSG00000011143","MKS1"
"ENSG00000011198","ABHD5"
"ENSG00000011243","AKAP8L"
"ENSG00000011258","MBTD1"
"ENSG00000011260","UTP18"
"ENSG00000011275","RNF216"
"ENSG00000011295","TTC19"
"ENSG00000011454","RABGAP1"
"ENSG00000011465","DCN"
"ENSG00000011485","PPP5C"
"ENSG00000011566","MAP4K3"
"ENSG00000012061","ERCC1"
"ENSG00000012660","ELOVL5"
"ENSG00000012822","CALCOCO1"
"ENSG00000012963","UBR7"
"ENSG00000012983","MAP4K5"
"ENSG00000013275","PSMC4"
"ENSG00000013306","SLC25A39"
"ENSG00000013364","MVP"
"ENSG00000013374","NUB1"
"ENSG00000013375","PGM3"
"ENSG00000013441","CLK1"
"ENSG00000013503","POLR3B"
"ENSG00000013523","ANGEL1"
"ENSG00000013561","RNF14"
"ENSG00000014123","UFL1"
"ENSG00000014138","POLA2"
"ENSG00000014216","CAPN1"
"ENSG00000014641","MDH1"
"ENSG00000014824","SLC30A9"
"ENSG00000014919","COX15"
"ENSG00000015171","ZMYND11"
"ENSG00000015479","MATR3"
"ENSG00000016864","GLT8D1"
"ENSG00000017260","ATP2C1"
"ENSG00000017797","RALBP1"
"ENSG00000018189","RUFY3"
"ENSG00000018510","AGPS"
"ENSG00000018610","STEEP1"
"ENSG00000018699","TTC27"
"ENSG00000019582","CD74"
"ENSG00000019995","ZRANB1"
"ENSG00000020922","MRE11"
"ENSG00000021574","SPAST"
"ENSG00000021776","AQR"
"ENSG00000022277","RTF2"
"ENSG00000022840","RNF10"
"ENSG00000022976","ZNF839"
"ENSG00000023041","ZDHHC6"
"ENSG00000023228","NDUFS1"
"ENSG00000023287","RB1CC1"
"ENSG00000023318","ERP44"
"ENSG00000023330","ALAS1"
"ENSG00000023697","DERA"
"ENSG00000023734","STRAP"
"ENSG00000023902","PLEKHO1"
"ENSG00000023909","GCLM"
"ENSG00000024048","UBR2"
"ENSG00000024862","CCDC28A"
"ENSG00000025156","HSF2"
"ENSG00000025293","PHF20"
"ENSG00000025770","NCAPH2"
"ENSG00000025772","TOMM34"
"ENSG00000025796","SEC63"
"ENSG00000025800","KPNA6"
"ENSG00000026025","VIM"
"ENSG00000026297","RNASET2"
"ENSG00000026950","BTN3A1"
"ENSG00000027001","MIPEP"
"ENSG00000027697","IFNGR1"
"ENSG00000028203","VEZT"
"ENSG00000028310","BRD9"
"ENSG00000028528","SNX1"
"ENSG00000028839","TBPL1"
"ENSG00000029363","BCLAF1"
"ENSG00000029364","SLC39A9"
"ENSG00000029639","TFB1M"
"ENSG00000029725","RABEP1"
"ENSG00000029993","HMGB3"
"ENSG00000030066","NUP160"
"ENSG00000030582","GRN"
"ENSG00000031003","FAM13B"
"ENSG00000031698","SARS1"
"ENSG00000032219","ARID4A"
"ENSG00000032389","EIPR1"
"ENSG00000032742","IFT88"
"ENSG00000033030","ZCCHC8"
"ENSG00000033050","ABCF2"
"ENSG00000033170","FUT8"
"ENSG00000033627","ATP6V0A1"
"ENSG00000033800","PIAS1"
"ENSG00000034533","ASTE1"
"ENSG00000034677","RNF19A"
"ENSG00000034693","PEX3"
"ENSG00000034713","GABARAPL2"
"ENSG00000035141","FAM136A"
"ENSG00000035403","VCL"
"ENSG00000035681","NSMAF"
"ENSG00000035687","ADSS2"
"ENSG00000035862","TIMP2"
"ENSG00000035928","RFC1"
"ENSG00000036054","TBC1D23"
"ENSG00000036257","CUL3"
"ENSG00000036549","ZZZ3"
"ENSG00000037241","RPL26L1"
"ENSG00000037474","NSUN2"
"ENSG00000037637","FBXO42"
"ENSG00000037897","METTL1"
"ENSG00000038002","AGA"
"ENSG00000038219","BOD1L1"
"ENSG00000038274","MAT2B"
"ENSG00000038358","EDC4"
"ENSG00000038532","CLEC16A"
"ENSG00000039123","MTREX"
"ENSG00000039523","RIPOR1"
"ENSG00000039650","PNKP"
"ENSG00000040275","SPDL1"
"ENSG00000040341","STAU2"
"ENSG00000040633","PHF23"
"ENSG00000041357","PSMA4"
"ENSG00000041802","LSG1"
"ENSG00000042088","TDP1"
"ENSG00000042286","AIFM2"
"ENSG00000042429","MED17"
"ENSG00000042445","RETSAT"
"ENSG00000043093","DCUN1D1"
"ENSG00000043514","TRIT1"
"ENSG00000044090","CUL7"
"ENSG00000044115","CTNNA1"
"ENSG00000044446","PHKA2"
"ENSG00000044574","HSPA5"
"ENSG00000046647","GEMIN8"
"ENSG00000046651","OFD1"
"ENSG00000047188","YTHDC2"
"ENSG00000047249","ATP6V1H"
"ENSG00000047315","POLR2B"
"ENSG00000047346","ATOSA"
"ENSG00000047410","TPR"
"ENSG00000047579","DTNBP1"
"ENSG00000047621","FERRY3"
"ENSG00000047849","MAP4"
"ENSG00000047932","GOPC"
"ENSG00000048028","USP28"
"ENSG00000048162","NOP16"
"ENSG00000048392","RRM2B"
"ENSG00000048649","RSF1"
"ENSG00000048828","FAM120A"
"ENSG00000048991","R3HDM1"
"ENSG00000049167","ERCC8"
"ENSG00000049245","VAMP3"
"ENSG00000049449","RCN1"
"ENSG00000049541","RFC2"
"ENSG00000049618","ARID1B"
"ENSG00000049656","CLPTM1L"
"ENSG00000049759","NEDD4L"
"ENSG00000049860","HEXB"
"ENSG00000049883","PTCD2"
"ENSG00000050393","MCUR1"
"ENSG00000050405","LIMA1"
"ENSG00000050426","LETMD1"
"ENSG00000050748","MAPK9"
"ENSG00000051108","HERPUD1"
"ENSG00000051382","PIK3CB"
"ENSG00000051596","THOC3"
"ENSG00000051620","HEBP2"
"ENSG00000051825","MPHOSPH9"
"ENSG00000052723","SIKE1"
"ENSG00000052841","TTC17"
"ENSG00000053372","MRTO4"
"ENSG00000053501","USE1"
"ENSG00000053770","AP5M1"
"ENSG00000053900","ANAPC4"
"ENSG00000054116","TRAPPC3"
"ENSG00000054118","THRAP3"
"ENSG00000054148","PHPT1"
"ENSG00000054267","ARID4B"
"ENSG00000054282","SDCCAG8"
"ENSG00000054611","TBC1D22A"
"ENSG00000054983","GALC"
"ENSG00000055044","NOP58"
"ENSG00000055070","SZRD1"
"ENSG00000055130","CUL1"
"ENSG00000055147","FAM114A2"
"ENSG00000055163","CYFIP2"
"ENSG00000055208","TAB2"
"ENSG00000055211","GINM1"
"ENSG00000055332","EIF2AK2"
"ENSG00000055483","USP36"
"ENSG00000055609","KMT2C"
"ENSG00000055917","PUM2"
"ENSG00000055950","MRPL43"
"ENSG00000056050","HPF1"
"ENSG00000056097","ZFR"
"ENSG00000056972","TRAF3IP2"
"ENSG00000057252","SOAT1"
"ENSG00000057608","GDI2"
"ENSG00000057663","ATG5"
"ENSG00000057757","PITHD1"
"ENSG00000057935","MTA3"
"ENSG00000058063","ATP11B"
"ENSG00000058262","SEC61A1"
"ENSG00000058272","PPP1R12A"
"ENSG00000058600","POLR3E"
"ENSG00000058729","RIOK2"
"ENSG00000058799","YIPF1"
"ENSG00000058804","NDC1"
"ENSG00000059573","ALDH18A1"
"ENSG00000059588","TARBP1"
"ENSG00000059691","GATB"
"ENSG00000059758","CDK17"
"ENSG00000059769","DNAJC25"
"ENSG00000060237","WNK1"
"ENSG00000060339","CCAR1"
"ENSG00000060642","PIGV"
"ENSG00000060688","SNRNP40"
"ENSG00000060749","QSER1"
"ENSG00000060971","ACAA1"
"ENSG00000061676","NCKAP1"
"ENSG00000061794","MRPS35"
"ENSG00000061918","GUCY1B1"
"ENSG00000061936","SFSWAP"
"ENSG00000061987","MON2"
"ENSG00000062194","GPBP1"
"ENSG00000062485","CS"
"ENSG00000062598","ELMO2"
"ENSG00000062650","WAPL"
"ENSG00000062716","VMP1"
"ENSG00000062725","APPBP2"
"ENSG00000063046","EIF4B"
"ENSG00000063177","RPL18"
"ENSG00000063244","U2AF2"
"ENSG00000063322","MED29"
"ENSG00000063601","MTMR1"
"ENSG00000063761","ADCK1"
"ENSG00000063854","HAGH"
"ENSG00000064102","INTS13"
"ENSG00000064115","TM7SF3"
"ENSG00000064225","ST3GAL6"
"ENSG00000064313","TAF2"
"ENSG00000064419","TNPO3"
"ENSG00000064601","CTSA"
"ENSG00000064607","SUGP2"
"ENSG00000064652","SNX24"
"ENSG00000064703","DDX20"
"ENSG00000064726","BTBD1"
"ENSG00000064933","PMS1"
"ENSG00000064995","TAF11"
"ENSG00000065000","AP3D1"
"ENSG00000065029","ZNF76"
"ENSG00000065135","GNAI3"
"ENSG00000065150","IPO5"
"ENSG00000065154","OAT"
"ENSG00000065183","WDR3"
"ENSG00000065243","PKN2"
"ENSG00000065427","KARS1"
"ENSG00000065518","NDUFB4"
"ENSG00000065548","ZC3H15"
"ENSG00000065559","MAP2K4"
"ENSG00000065613","SLK"
"ENSG00000065615","CYB5R4"
"ENSG00000065802","ASB1"
"ENSG00000065809","FAM107B"
"ENSG00000065833","ME1"
"ENSG00000065882","TBC1D1"
"ENSG00000065883","CDK13"
"ENSG00000066027","PPP2R5A"
"ENSG00000066044","ELAVL1"
"ENSG00000066117","SMARCD1"
"ENSG00000066135","KDM4A"
"ENSG00000066136","NFYC"
"ENSG00000066322","ELOVL1"
"ENSG00000066379","POLR1H"
"ENSG00000066422","ZBTB11"
"ENSG00000066455","GOLGA5"
"ENSG00000066557","LRRC40"
"ENSG00000066583","ISOC1"
"ENSG00000066651","TRMT11"
"ENSG00000066739","ATG2B"
"ENSG00000066777","ARFGEF1"
"ENSG00000066926","FECH"
"ENSG00000067064","IDI1"
"ENSG00000067141","NEO1"
"ENSG00000067167","TRAM1"
"ENSG00000067182","TNFRSF1A"
"ENSG00000067208","EVI5"
"ENSG00000067225","PKM"
"ENSG00000067248","DHX29"
"ENSG00000067334","DNTTIP2"
"ENSG00000067365","METTL22"
"ENSG00000067369","TP53BP1"
"ENSG00000067533","RRP15"
"ENSG00000067596","DHX8"
"ENSG00000067704","IARS2"
"ENSG00000067829","IDH3G"
"ENSG00000067836","ROGDI"
"ENSG00000067900","ROCK1"
"ENSG00000067955","CBFB"
"ENSG00000068028","RASSF1"
"ENSG00000068097","HEATR6"
"ENSG00000068120","COASY"
"ENSG00000068305","MEF2A"
"ENSG00000068308","OTUD5"
"ENSG00000068323","TFE3"
"ENSG00000068383","INPP5A"
"ENSG00000068394","GPKOW"
"ENSG00000068400","GRIPAP1"
"ENSG00000068438","FTSJ1"
"ENSG00000068654","POLR1A"
"ENSG00000068697","LAPTM4A"
"ENSG00000068745","IP6K2"
"ENSG00000068784","SRBD1"
"ENSG00000068796","KIF2A"
"ENSG00000068878","PSME4"
"ENSG00000068885","IFT80"
"ENSG00000068903","SIRT2"
"ENSG00000068912","ERLEC1"
"ENSG00000068971","PPP2R5B"
"ENSG00000069248","NUP133"
"ENSG00000069275","NUCKS1"
"ENSG00000069329","VPS35"
"ENSG00000069345","DNAJA2"
"ENSG00000069509","FUNDC1"
"ENSG00000069667","RORA"
"ENSG00000069849","ATP1B3"
"ENSG00000069943","PIGB"
"ENSG00000069956","MAPK6"
"ENSG00000069966","GNB5"
"ENSG00000070010","UFD1"
"ENSG00000070061","ELP1"
"ENSG00000070081","NUCB2"
"ENSG00000070214","SLC44A1"
"ENSG00000070269","TMEM260"
"ENSG00000070366","SMG6"
"ENSG00000070367","EXOC5"
"ENSG00000070476","ZXDC"
"ENSG00000070495","JMJD6"
"ENSG00000070501","POLB"
"ENSG00000070540","WIPI1"
"ENSG00000070610","GBA2"
"ENSG00000070718","AP3M2"
"ENSG00000070759","TESK2"
"ENSG00000070785","EIF2B3"
"ENSG00000070814","TCOF1"
"ENSG00000070961","ATP2B1"
"ENSG00000071054","MAP4K4"
"ENSG00000071127","WDR1"
"ENSG00000071189","SNX13"
"ENSG00000071243","ING3"
"ENSG00000071462","BUD23"
"ENSG00000071537","SEL1L"
"ENSG00000071553","ATP6AP1"
